KEY_benef_loc,match_score,KEY_inegi_localidad
tlapehuala-nuevo guerrero,100,tlapehuala-nuevo guerrero
teloloapan-los pericones,100,teloloapan-los pericones
general canuto a. neri-chipilatlan (la memela),100,general canuto a. neri-chipilatlan (la memela)
teloloapan-tonalapa del rio,100,teloloapan-tonalapa del rio
petatlan-san jeronimito (san jeronimo),100,petatlan-san jeronimito (san jeronimo)
tlapa de comonfort-aquilpa,100,tlapa de comonfort-aquilpa
benito juarez-hacienda de cabanas,100,benito juarez-hacienda de cabanas
tecpan de galeana-tenexpa,100,tecpan de galeana-tenexpa
zapotitlan tablas-san agustin,100,zapotitlan tablas-san agustin
ayutla de los libres-meson zapote,97,ayutla de los libres-mezon zapote
san miguel totolapan-la gavia,100,san miguel totolapan-la gavia
petatlan-chaveta,100,petatlan-chaveta
san miguel totolapan-ximotla (jimotla),100,san miguel totolapan-ximotla (jimotla)
tlalchapa-colonia cuauhtemoc,100,tlalchapa-colonia cuauhtemoc
san miguel totolapan-petlacala,100,san miguel totolapan-petlacala
zitlala-mazatepec,100,zitlala-mazatepec
zihuatanejo de azueta-el sandial,100,zihuatanejo de azueta-el sandial
san miguel totolapan-buena vista (san bartolo),100,san miguel totolapan-buena vista (san bartolo)
teloloapan-el zapote,100,teloloapan-el zapote
teloloapan-san francisco,100,teloloapan-san francisco
coyuca de catalan-patambo,100,coyuca de catalan-patambo
san miguel totolapan-san francisco,100,san miguel totolapan-san francisco
san miguel totolapan-otatlan,100,san miguel totolapan-otatlan
teloloapan-tlanipatlan (de las limas),100,teloloapan-tlanipatlan (de las limas)
teloloapan-tonalapa del rio cuauhtemoc (barrio de santa maria),100,teloloapan-tonalapa del rio cuauhtemoc (barrio de santa maria)
atlixtac-xalpitzahuac,100,atlixtac-xalpitzahuac
malinaltepec-espino blanco,100,malinaltepec-espino blanco
tecoanapa-el techale (tlaltechale),100,tecoanapa-el techale (tlaltechale)
coyuca de catalan-paso de arena,100,coyuca de catalan-paso de arena
teloloapan-tlalpexco,100,teloloapan-tlalpexco
coyuca de catalan-zirandaranguio,100,coyuca de catalan-zirandaranguio
teloloapan-monte sauce,100,teloloapan-monte sauce
tecpan de galeana-los llanitos,100,tecpan de galeana-los llanitos
san miguel totolapan-puerto alegre,100,san miguel totolapan-puerto alegre
benito juarez-las tunas,100,benito juarez-las tunas
tetipac-chontalpan,100,tetipac-chontalpan
teloloapan-huerta grande norte,100,teloloapan-huerta grande norte
acapulco de juarez-pueblo madero (el playon),100,acapulco de juarez-pueblo madero (el playon)
san miguel totolapan-las hebillas (las habillas),100,san miguel totolapan-las hebillas (las habillas)
la union de isidoro montes de oca-paso de la goleta,100,la union de isidoro montes de oca-paso de la goleta
teloloapan-el duraznal,100,teloloapan-el duraznal
coahuayutla de jose maria izazaga-el platanillo,100,coahuayutla de jose maria izazaga-el platanillo
zihuatanejo de azueta-la salitrera,100,zihuatanejo de azueta-la salitrera
tecoanapa-tecuantepec,100,tecoanapa-tecuantepec
tlalchapa-san miguel tecomatlan,100,tlalchapa-san miguel tecomatlan
tecoanapa-barrio nuevo,100,tecoanapa-barrio nuevo
san miguel totolapan-laguna de hueyanalco,100,san miguel totolapan-laguna de hueyanalco
tlapehuala-san jose poliutla,100,tlapehuala-san jose poliutla
teloloapan-ranchos nuevos,100,teloloapan-ranchos nuevos
