KEY_benef_mun,best_match,match_score,CVE_ENT,Entidad_inegi,CVE_MUN,Municipio_inegi,KEY_inegi_municipio
tlaxcala-la magdalena tlaltelulco,tlaxcala-la magdalena tlaltelulco,100,29,Tlaxcala,48,La Magdalena Tlaltelulco,tlaxcala-la magdalena tlaltelulco
tlaxcala-san lucas tecopilco,tlaxcala-san lucas tecopilco,100,29,Tlaxcala,55,San Lucas Tecopilco,tlaxcala-san lucas tecopilco
puebla-mazapiltepec de juarez,puebla-mazapiltepec de juarez,100,21,Puebla,96,Mazapiltepec de Juárez,puebla-mazapiltepec de juarez
puebla-san jose chiapa,puebla-san jose chiapa,100,21,Puebla,128,San José Chiapa,puebla-san jose chiapa
tlaxcala-san damian texoloc,tlaxcala-san damian texoloc,100,29,Tlaxcala,49,San Damián Texóloc,tlaxcala-san damian texoloc
tlaxcala-san francisco tetlanohcan,tlaxcala-san francisco tetlanohcan,100,29,Tlaxcala,50,San Francisco Tetlanohcan,tlaxcala-san francisco tetlanohcan
tlaxcala-cuaxomulco,tlaxcala-cuaxomulco,100,29,Tlaxcala,9,Cuaxomulco,tlaxcala-cuaxomulco
tlaxcala-santa ana nopalucan,tlaxcala-santa ana nopalucan,100,29,Tlaxcala,56,Santa Ana Nopalucan,tlaxcala-santa ana nopalucan
puebla-san miguel xoxtla,puebla-san miguel xoxtla,100,21,Puebla,136,San Miguel Xoxtla,puebla-san miguel xoxtla
tlaxcala-santa apolonia teacalco,tlaxcala-santa apolonia teacalco,100,29,Tlaxcala,57,Santa Apolonia Teacalco,tlaxcala-santa apolonia teacalco
tlaxcala-contla de juan cuamatzi,tlaxcala-contla de juan cuamatzi,100,29,Tlaxcala,18,Contla de Juan Cuamatzi,tlaxcala-contla de juan cuamatzi
tlaxcala-tenancingo,tlaxcala-tenancingo,100,29,Tlaxcala,27,Tenancingo,tlaxcala-tenancingo
tlaxcala-amaxac de guerrero,tlaxcala-amaxac de guerrero,100,29,Tlaxcala,1,Amaxac de Guerrero,tlaxcala-amaxac de guerrero
morelos-zacatepec,morelos-zacatepec,100,17,Morelos,31,Zacatepec,morelos-zacatepec
morelos-jiutepec,morelos-jiutepec,100,17,Morelos,11,Jiutepec,morelos-jiutepec
tlaxcala-santa cruz quilehtla,tlaxcala-santa cruz quilehtla,100,29,Tlaxcala,59,Santa Cruz Quilehtla,tlaxcala-santa cruz quilehtla
tlaxcala-santa isabel xiloxoxtla,tlaxcala-santa isabel xiloxoxtla,100,29,Tlaxcala,60,Santa Isabel Xiloxoxtla,tlaxcala-santa isabel xiloxoxtla
tlaxcala-san juan huactzinco,tlaxcala-san juan huactzinco,100,29,Tlaxcala,53,San Juan Huactzinco,tlaxcala-san juan huactzinco
